brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,69,28,18,,
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
OLYMPIKUS,Tênis Running Masculino Vertical Olympikus Preto,432,23,43,22,,
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,145,99,4.8,(888)
OLYMPIKUS,Tênis Running Masculino Taurus Olympikus Preto,345,78,34,58,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9443)
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,158,99,4.8,(1418)
NIKE,Tênis Nike Flex Experience 12 Masculino,299,99,29,08,5.0,(1)
OLYMPIKUS,Tênis Running Masculino Zex Olympikus Branco E Preto,283,99,31,55,,
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,1.149,99,114,,,
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,119,90,113,90,4.4,(296)
MSTORE,Kit 3 Pares Sapatenis Casual Barato Confortável Macio Flex,129,90,32,48,,
OLYMPIKUS,Tênis Running Masculino Triunfo 2 Olympikus Petróleo,284,56,31,,,
NIKE,Tênis Nike Air Max Sc Masculino,389,99,39,,4.8,(415)
MIZUNO,Tênis Mizuno Hawk 5 Masculino,389,90,319,71,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,269,62,33,,4.7,(424)
PUMA,Tênis De Corrida Retaliate 2 Puma Tênis De Corrida,399,90,39,99,,
OLYMPIKUS,Tênis Olympikus Corrida Corre 3 Laranja Unissex,499,98,50,,4.5,(2)
FILA,Tênis Fila Kr6 Masculino,466,83,326,20,4.8,(20)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,31,48,4.4,(1509)
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,749,44,74,94,4.8,(5)
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,150,99,4.8,(5708)
FILA,Tênis Fila Kenya Racer Kr6 Alta Performance Masculino,599,99,365,99,5.0,(3)
NEW BALANCE,Tênis New Balance 411 V3 Masculino,359,90,295,11,,
FILA,Tênis De Corrida Masculino Fila Racer Gripper Original,329,99,227,43,,
OLYMPIKUS,Tênis Running Masculino Volcan Original Olympikus,246,94,30,87,,
MSTORE,Kit 3 Pares Sapatenis Casual Barato Confortável Macio Flex,129,90,32,48,,
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,99,358,99,5.0,(2)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino,444,33,349,90,,
PUMA,Tenis Masculino Puma Wired Run Softfoam Oftfoam - Original,369,99,236,79,,
OLYMPIKUS,Tênis Masculino Olympikus Cyber 4 Original,279,99,207,19,,
PUMA,Tênis Puma Flyer Runner Mesh Bdp Masculino Original ,329,90,283,71,5.0,(5)
FILA,Tênis Fila Racer Gripper Masculino Original,329,99,232,53,,
FILA,Tênis Fila Classic Runner Sl Masculino Branco,289,90,32,21,,
FILA,Tênis Fila Racer Nairobi Corrida - Masculino,379,99,334,39,,
FILA,Tênis Fila Masculino Trend 3.0 Treino Caminhada Casual,319,90,281,51,,
OLYMPIKUS,Tênis Olympikus Rayo - Masculino Casual Confortável E Leve,259,99,197,59,,
FILA,Tênis Racer Gripper Fila Unissex Original ,329,99,237,59,,
FILA,Tênis De Caminhada Masculino Fila Ride Original,329,99,227,43,5.0,(3)
FILA,Tênis Masculino Fila Ride Original,329,99,227,43,5.0,(1)
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,379,99,36,84,,
FILA,Tênis Fila Masculino Float Elite Corrida ,749,90,457,43,,
